f8b0dd9c-d7ab-4e76-b5c6-498cd06da5a6 	 2022:12:02 	08:37:59 	 info 	 GET 	 /books/638961a23341cc1cd689c633 
980b31cc-8958-4458-8691-0abcffb8a4a9 	 2022:12:02 	08:38:12 	 info 	 PUT 	 /books/638961a23341cc1cd689c633 
af789192-0ded-488c-a634-ae8f795e3809 	 2022:12:02 	08:38:16 	 info 	 GET 	 /books/638961a23341cc1cd689c633 
0f44a5f1-c40f-4c54-af83-abb2c75f2cc8 	 2022:12:02 	08:38:21 	 info 	 GET 	 /books 
f13882dd-ac80-4bbd-9eb2-473762b59b81 	 2022:12:02 	08:41:16 	 info 	 DELETE 	 /books/638961a23341cc1cd689c633 
e4d5bdf3-c826-483f-93d2-41442f448126 	 2022:12:02 	08:41:23 	 info 	 GET 	 /books/638961a23341cc1cd689c633 
b7d85835-31b2-4e76-8e11-883ce7d2a03a 	 2022:12:02 	08:41:33 	 info 	 GET 	 /books/ 
149b2234-0a9c-4717-bccb-dbde94ec13d4 	 2022:12:07 	09:08:39 	 info 	 GET 	 /books/ 
89c87842-2a8f-457b-9631-a85b3e300bbc 	 2022:12:07 	09:35:18 	 info 	 GET 	 /books/638961b33341cc1cd689c635/reviews 
1b7a33bc-e54d-43b3-92ec-758cd055aa18 	 2022:12:07 	09:37:01 	 info 	 GET 	 /books/ 
a59185c9-2b5a-42da-b10b-bb1d7b9bf7c9 	 2022:12:07 	09:37:56 	 info 	 GET 	 /books/ 
2893d149-dd5f-453d-a27e-1f816f077852 	 2022:12:07 	09:38:08 	 info 	 GET 	 /books/ 
aa9b68d3-4eca-4c7f-88f4-137af6441c76 	 2022:12:07 	09:41:56 	 info 	 GET 	 /books/ 
edc8f452-6ea8-4218-8f18-0129c0c7310d 	 2022:12:07 	09:43:58 	 info 	 GET 	 /books/ 
